ID,spaceId,duration,number_of_participants,start_date,end_date,createdAt,updatedAt,roomSid
120050,22133,2,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,8fa7e9f2-e7ff-4dd7-a9f5-fdbe1c6320fc
120051,22137,13,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,d63d97b8-295d-4988-93f0-7840ea0f7435
120052,22133,3,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,da77646c-fbc7-4899-a977-2db98d0638d9
120053,22133,3,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,dfb0e503-769d-4903-8281-b28fa4dfbec3
120054,22133,2,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,5cd6ca93-acab-46b6-ba69-0a54e7b0e101
120055,22137,19,1,7/1/2023 23:23,7/1/2023 23:24,7/1/2023 23:23,7/1/2023 23:24,9bed34c8-aaf9-4f13-8738-e01f4139fb0f
120056,22135,3,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,a827ce34-5315-464c-9811-9fe96d5a7e39
120057,22133,3,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,008f203f-50b6-4f84-a147-039cccac69f5
120058,22135,55,1,7/1/2023 23:23,7/1/2023 23:24,7/1/2023 23:23,7/1/2023 23:24,677b09a4-c0ff-4717-bb9e-6b118d70b991
120059,22137,15,1,7/1/2023 23:24,7/1/2023 23:24,7/1/2023 23:24,7/1/2023 23:24,7e1a7eb6-7f20-4b01-8a49-c6073e733f10
120060,22137,15,1,7/1/2023 23:24,7/1/2023 23:24,7/1/2023 23:24,7/1/2023 23:24,1738c361-cf95-4862-883d-7da092896fee
120061,22137,27,1,7/1/2023 23:24,7/1/2023 23:25,7/1/2023 23:24,7/1/2023 23:25,4a75353b-777d-4743-98d9-c00d42ac75cc
120062,22135,3,1,7/1/2023 23:24,7/1/2023 23:25,7/1/2023 23:24,7/1/2023 23:25,56c1175a-4914-4f6f-8d78-09379401b7f7
120063,22135,1,1,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,2e6da121-88a4-4a1c-9cbe-dc35d8f806d0
120064,22135,2,1,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,8de7fbe9-2d4e-45ce-a90c-535e732d3167
120065,22135,7,1,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,531f9739-7da6-47eb-a3a8-a9e32057c7fb
