ID,spaceSessionId,userId,createdAt,updatedAt,joinDate,leftDate,parentSpaceSessionId,openSpaceUser
160330,127935,14266,8/24/2023 16:35,8/24/2023 16:35,8/24/2023 16:31,8/24/2023 16:35,127934,0
160331,127937,14266,8/24/2023 18:23,8/24/2023 18:23,8/24/2023 18:23,8/24/2023 18:23,127936,0
160332,127939,14266,8/24/2023 18:49,8/24/2023 18:49,8/24/2023 18:23,8/24/2023 18:49,127938,0
160333,127941,14327,8/24/2023 18:50,8/24/2023 18:50,8/24/2023 18:46,8/24/2023 18:50,127940,0
160334,127943,14327,8/24/2023 18:56,8/24/2023 18:56,8/24/2023 18:50,8/24/2023 18:56,127942,0
160335,127945,14327,8/24/2023 18:57,8/24/2023 18:57,8/24/2023 18:56,8/24/2023 18:57,127944,0
160336,127947,14327,8/24/2023 18:58,8/24/2023 18:58,8/24/2023 18:57,8/24/2023 18:58,127946,0
160337,127949,14327,8/24/2023 18:58,8/24/2023 18:58,8/24/2023 18:58,8/24/2023 18:58,127948,0
160338,127951,14327,8/24/2023 18:59,8/24/2023 18:59,8/24/2023 18:58,8/24/2023 18:59,127950,0
160339,127953,14327,8/24/2023 18:59,8/24/2023 18:59,8/24/2023 18:59,8/24/2023 18:59,127952,0
160340,127954,14327,8/24/2023 19:00,8/24/2023 19:00,8/24/2023 18:59,8/24/2023 19:00,,0
160341,127926,1612,8/24/2023 19:02,8/24/2023 19:02,8/24/2023 16:29,8/24/2023 19:02,127925,0
160342,127955,14327,8/24/2023 19:12,8/24/2023 19:12,8/24/2023 19:09,8/24/2023 19:12,,0
160343,127956,14327,8/24/2023 19:12,8/24/2023 19:12,8/24/2023 19:12,8/24/2023 19:12,,0
160344,127957,14327,8/24/2023 19:14,8/24/2023 19:14,8/24/2023 19:13,8/24/2023 19:14,,0
160345,127958,14327,8/24/2023 19:51,8/24/2023 19:51,8/24/2023 19:51,8/24/2023 19:51,,0
160346,127959,14327,8/24/2023 19:53,8/24/2023 19:53,8/24/2023 19:51,8/24/2023 19:53,,0
160347,127960,14327,8/24/2023 19:56,8/24/2023 19:56,8/24/2023 19:53,8/24/2023 19:56,,0
160348,127961,14327,8/24/2023 19:56,8/24/2023 19:56,8/24/2023 19:56,8/24/2023 19:56,,0
160349,127962,14327,8/24/2023 19:57,8/24/2023 19:57,8/24/2023 19:57,8/24/2023 19:57,,0
160350,127963,14327,8/24/2023 19:58,8/24/2023 19:58,8/24/2023 19:58,8/24/2023 19:58,,0
160351,127964,331,8/25/2023 4:15,8/25/2023 4:15,8/25/2023 4:14,8/25/2023 4:15,,0
160352,127965,14327,8/25/2023 5:57,8/25/2023 5:57,8/25/2023 5:56,8/25/2023 5:57,,0
160353,127966,14327,8/25/2023 5:59,8/25/2023 5:59,8/25/2023 5:57,8/25/2023 5:59,,0
160354,127967,14327,8/25/2023 6:00,8/25/2023 6:00,8/25/2023 5:59,8/25/2023 6:00,,0
160355,127968,14327,8/25/2023 6:01,8/25/2023 6:01,8/25/2023 6:00,8/25/2023 6:01,,0
160356,127969,14327,8/25/2023 6:01,8/25/2023 6:01,8/25/2023 6:01,8/25/2023 6:01,,0
160357,127970,14327,8/25/2023 6:02,8/25/2023 6:02,8/25/2023 6:02,8/25/2023 6:02,,0
160358,127971,14327,8/25/2023 6:04,8/25/2023 6:04,8/25/2023 6:02,8/25/2023 6:04,,0
160359,127972,14327,8/25/2023 6:05,8/25/2023 6:05,8/25/2023 6:04,8/25/2023 6:05,,0
160360,127973,14327,8/25/2023 6:06,8/25/2023 6:06,8/25/2023 6:06,8/25/2023 6:06,,0
160361,127974,14327,8/25/2023 6:07,8/25/2023 6:07,8/25/2023 6:07,8/25/2023 6:07,,0
160362,127975,14327,8/25/2023 6:08,8/25/2023 6:08,8/25/2023 6:07,8/25/2023 6:08,,0
160363,127976,14327,8/25/2023 6:10,8/25/2023 6:10,8/25/2023 6:08,8/25/2023 6:10,,0
160364,127977,14327,8/25/2023 6:11,8/25/2023 6:11,8/25/2023 6:11,8/25/2023 6:11,,0
160365,127978,14327,8/25/2023 6:14,8/25/2023 6:14,8/25/2023 6:12,8/25/2023 6:14,,0
160366,127979,14327,8/25/2023 6:41,8/25/2023 6:41,8/25/2023 6:15,8/25/2023 6:41,,0
160367,127985,300,8/25/2023 8:11,8/25/2023 8:11,8/25/2023 8:10,8/25/2023 8:10,127984,0
160368,127985,30651,8/25/2023 8:11,8/25/2023 8:11,8/25/2023 8:10,8/25/2023 8:11,127984,0
160369,127980,334,8/25/2023 8:23,8/25/2023 8:23,8/25/2023 6:54,8/25/2023 8:23,,0
160370,127995,300,8/25/2023 8:30,8/25/2023 8:30,8/25/2023 8:28,8/25/2023 8:30,,0
160371,127996,300,8/25/2023 8:31,8/25/2023 8:31,8/25/2023 8:31,8/25/2023 8:31,,0
160372,127994,334,8/25/2023 8:48,8/25/2023 8:48,8/25/2023 8:24,8/25/2023 8:48,,0
160373,128003,14266,8/25/2023 9:01,8/25/2023 9:01,8/25/2023 9:01,8/25/2023 9:01,128002,0
160374,128000,334,8/25/2023 9:02,8/25/2023 9:02,8/25/2023 8:52,8/25/2023 9:02,,0
160375,128005,14266,8/25/2023 9:04,8/25/2023 9:04,8/25/2023 9:02,8/25/2023 9:03,128004,0
160376,128011,14266,8/25/2023 9:23,8/25/2023 9:23,8/25/2023 9:23,8/25/2023 9:23,128010,0
160377,127999,306,8/25/2023 9:25,8/25/2023 9:25,8/25/2023 8:42,8/25/2023 9:25,,0
160378,128014,1612,8/25/2023 9:30,8/25/2023 9:30,8/25/2023 9:30,8/25/2023 9:30,,0
160379,128017,1612,8/25/2023 9:33,8/25/2023 9:33,8/25/2023 9:31,8/25/2023 9:33,128016,0
160380,128013,14266,8/25/2023 10:46,8/25/2023 10:46,8/25/2023 9:23,8/25/2023 10:46,128012,0
160381,127988,1192,8/25/2023 10:47,8/25/2023 10:47,8/25/2023 8:16,8/25/2023 8:55,,0
160382,127988,30651,8/25/2023 10:47,8/25/2023 10:47,8/25/2023 8:30,8/25/2023 8:33,,0
160383,127988,306,8/25/2023 10:47,8/25/2023 10:47,8/25/2023 8:30,8/25/2023 8:31,,0
160384,127988,334,8/25/2023 10:47,8/25/2023 10:47,8/25/2023 8:32,8/25/2023 8:32,,0
160385,127988,300,8/25/2023 10:47,8/25/2023 10:47,8/25/2023 8:15,8/25/2023 10:47,,0
160386,128006,334,8/25/2023 10:52,8/25/2023 10:52,8/25/2023 9:02,8/25/2023 10:52,,0
160387,128018,334,8/25/2023 10:54,8/25/2023 10:54,8/25/2023 10:52,8/25/2023 10:54,,0
160388,128019,334,8/25/2023 10:56,8/25/2023 10:56,8/25/2023 10:54,8/25/2023 10:56,,0
160389,128021,334,8/25/2023 10:57,8/25/2023 10:57,8/25/2023 10:56,8/25/2023 10:57,,0
